id,airport_code,name,distance_km,star_rating,guest_score,review_count,price_per_night,has_shuttle,has_breakfast,address
28,GOP,Taj City Centre (Ganjam / Gopalpur Airport),10.1,5,8.6,2487,12410,0,0,"Terminal Road, Near GOP Airport, Ganjam / Gopalpur, India"
29,MZS,Trident Airport Hotel (Sonbhadra Airport),3.5,3,8.8,2044,3125,1,0,"Terminal Road, Near MZS Airport, Sonbhadra, India"
30,GOI,Radisson Blu Airport (Goa (Dabolim) Airport),6.2,3,8.2,1577,10474,1,1,"Terminal Road, Near GOI Airport, Goa (Dabolim), India"
31,CNN,Lemon Tree Premier (Kannur Airport),10.6,4,8.8,1810,6185,0,0,"Terminal Road, Near CNN Airport, Kannur, India"
32,GOP,Pride Plaza Hotel (Ganjam / Gopalpur Airport),9.1,5,8.9,3407,8861,0,0,"Terminal Road, Near GOP Airport, Ganjam / Gopalpur, India"
33,NEEM,OYO Townhouse Airport (Neemuch Airport),14.1,5,8.9,1293,4703,0,1,"Terminal Road, Near NEEM Airport, Neemuch, India"
34,KAR,Ginger Airport Hotel (Karad / Satara Airport),13.9,4,8.3,1783,6376,0,0,"Terminal Road, Near KAR Airport, Karad / Satara, India"
35,BID,Taj City Centre (Bidar Airport),3.7,3,8.2,396,8754,1,0,"Terminal Road, Near BID Airport, Bidar, India"
36,PNV,Trident Airport Hotel (Porbandar Airport),10.8,4,9.4,1874,6377,0,0,"Terminal Road, Near PNV Airport, Porbandar, India"
37,PBN,FabHotel Airport Inn (Parbhani Airport),4.1,4,8.5,1899,8024,1,0,"Terminal Road, Near PBN Airport, Parbhani, India"
38,LUD,Ginger Airport Hotel (Ludhiana Airport),2.0,5,8.9,3479,10646,1,1,"Terminal Road, Near LUD Airport, Ludhiana, India"
39,IXR,Trident Airport Hotel (Ranchi Airport),3.0,3,8.2,3092,6519,1,1,"Terminal Road, Near IXR Airport, Ranchi, India"
40,PUR,Pride Plaza Hotel (Purulia Airport),4.4,3,9.2,258,8836,1,1,"Terminal Road, Near PUR Airport, Purulia, India"
41,IXW,Hyatt Regency Terminal (Jamshedpur Airport),5.4,5,8.4,1791,12490,1,0,"Terminal Road, Near IXW Airport, Jamshedpur, India"
42,UDR,Trident Airport Hotel (Udaipur Airport),2.6,5,9.5,2498,7648,1,1,"Terminal Road, Near UDR Airport, Udaipur, India"
43,AMB,Trident Airport Hotel (Ambikapur Airport),14.2,4,9.5,1078,11735,0,0,"Terminal Road, Near AMB Airport, Ambikapur, India"
44,KAR,ITC Grand Bharat (Karad / Satara Airport),12.5,4,9.6,2309,4243,0,1,"Terminal Road, Near KAR Airport, Karad / Satara, India"
45,NVY,Pride Plaza Hotel (Neyveli Airport),7.9,3,8.8,3756,5282,1,0,"Terminal Road, Near NVY Airport, Neyveli, India"
46,BVC,Novotel Airport Hotel (Bhavnagar Airport),10.8,5,8.5,981,8174,0,1,"Terminal Road, Near BVC Airport, Bhavnagar, India"
47,PINJ,ITC Grand Bharat (Panchkula / Pinjore Airport),14.1,3,9.0,733,8396,0,1,"Terminal Road, Near PINJ Airport, Panchkula / Pinjore, India"
48,VDY,Novotel Airport Hotel (Vidyanagar / Ballari Airport),13.8,3,8.6,171,2770,0,1,"Terminal Road, Near VDY Airport, Vidyanagar / Ballari, India"
49,SXR,IBIS Airport Hotel (Srinagar Airport),7.8,3,8.4,1236,8229,1,1,"Terminal Road, Near SXR Airport, Srinagar, India"
50,PNV,Pride Plaza Hotel (Porbandar Airport),7.0,5,9.2,1097,7475,1,1,"Terminal Road, Near PNV Airport, Porbandar, India"
51,KOR,Hyatt Regency Terminal (Koraput Airport),14.0,4,8.9,2699,4963,0,0,"Terminal Road, Near KOR Airport, Koraput, India"
52,IXS,Radisson Blu Airport (Silchar Airport),7.7,5,9.2,373,5753,1,0,"Terminal Road, Near IXS Airport, Silchar, India"
53,MEH,Ginger Airport Hotel (Mehsana Airport),8.0,5,8.7,591,11023,0,1,"Terminal Road, Near MEH Airport, Mehsana, India"
54,CHI,Novotel Airport Hotel (Chhindwara Airport),5.5,4,9.4,588,7717,1,1,"Terminal Road, Near CHI Airport, Chhindwara, India"
55,AKL,Lemon Tree Premier (Akola Airport),1.5,4,8.5,3323,8795,1,1,"Terminal Road, Near AKL Airport, Akola, India"
56,MRA,ITC Grand Bharat (Noida / Jewar Airport),2.6,3,8.7,2924,12434,1,0,"Terminal Road, Near MRA Airport, Noida / Jewar, India"
57,BOM,Taj City Centre (Mumbai Airport),9.4,4,8.2,2677,9851,0,0,"Terminal Road, Near BOM Airport, Mumbai, India"
58,UDR,Trident Airport Hotel (Udaipur Airport),2.7,4,8.1,2037,11861,1,1,"Terminal Road, Near UDR Airport, Udaipur, India"
59,AYJ,FabHotel Airport Inn (Ayodhya Airport),4.6,5,8.4,536,2662,1,0,"Terminal Road, Near AYJ Airport, Ayodhya, India"
60,TEZ,FabHotel Airport Inn (Tezpur Airport),8.9,3,9.2,3297,3752,0,1,"Terminal Road, Near TEZ Airport, Tezpur, India"
61,IXD,ITC Grand Bharat (Prayagraj (Allahabad) Airport),5.7,5,9.3,2516,5494,1,1,"Terminal Road, Near IXD Airport, Prayagraj (Allahabad), India"
62,SLN,OYO Townhouse Airport (Sultanpur Airport),3.1,5,8.4,930,8034,1,1,"Terminal Road, Near SLN Airport, Sultanpur, India"
63,IXL,Trident Airport Hotel (Leh (Ladakh) Airport),7.1,4,8.3,2531,8352,1,0,"Terminal Road, Near IXL Airport, Leh (Ladakh), India"
64,BAR,IBIS Airport Hotel (Baramati Airport),12.9,5,8.7,2122,6411,0,1,"Terminal Road, Near BAR Airport, Baramati, India"
65,DHM,Lemon Tree Premier (Dharamshala / Kangra Airport),9.4,5,9.4,3095,8473,0,1,"Terminal Road, Near DHM Airport, Dharamshala / Kangra, India"
66,RKG,Pride Plaza Hotel (Durgapur Airport),13.9,3,9.5,192,2722,0,1,"Terminal Road, Near RKG Airport, Durgapur, India"
67,RMD,IBIS Airport Hotel (Ratnagiri Airport),2.0,5,8.4,2019,7244,1,1,"Terminal Road, Near RMD Airport, Ratnagiri, India"
68,SXV,IBIS Airport Hotel (Shivamogga Airport),6.5,5,9.5,2222,10040,1,1,"Terminal Road, Near SXV Airport, Shivamogga, India"
69,BDQ,ITC Grand Bharat (Vadodara Airport),3.8,3,9.0,1090,4854,1,0,"Terminal Road, Near BDQ Airport, Vadodara, India"
70,SIH,Hyatt Regency Terminal (Sirohi Airport),9.2,4,9.3,1527,9167,0,0,"Terminal Road, Near SIH Airport, Sirohi, India"
71,SIH,Novotel Airport Hotel (Sirohi Airport),9.9,4,8.2,3556,2662,0,1,"Terminal Road, Near SIH Airport, Sirohi, India"
72,PUI,Novotel Airport Hotel (Purnea Airport),7.8,3,8.7,2116,2200,1,1,"Terminal Road, Near PUI Airport, Purnea, India"
73,IXJ,FabHotel Airport Inn (Jammu Airport),10.6,5,8.5,1856,11145,0,1,"Terminal Road, Near IXJ Airport, Jammu, India"
74,KQH,Trident Airport Hotel (Ajmer / Kishangarh Airport),12.1,4,9.7,2898,7076,0,1,"Terminal Road, Near KQH Airport, Ajmer / Kishangarh, India"
75,BHJ,Pride Plaza Hotel (Bhuj (Kutch) Airport),10.8,4,9.3,3263,4003,0,0,"Terminal Road, Near BHJ Airport, Bhuj (Kutch), India"
76,GAW,Radisson Blu Airport (Guwahati Airport),3.3,5,8.1,3109,11944,1,0,"Terminal Road, Near GAW Airport, Guwahati, India"
77,KAP,Hyatt Regency Terminal (Kadapa Airport),9.7,4,9.5,1175,9202,0,0,"Terminal Road, Near KAP Airport, Kadapa, India"
78,PINJ,Trident Airport Hotel (Panchkula / Pinjore Airport),6.6,4,9.5,3545,7018,1,0,"Terminal Road, Near PINJ Airport, Panchkula / Pinjore, India"
79,STV,Hyatt Regency Terminal (Surat Airport),11.3,5,8.7,2667,6628,0,0,"Terminal Road, Near STV Airport, Surat, India"
80,STV,IBIS Airport Hotel (Surat Airport),5.5,4,8.5,3538,11442,1,0,"Terminal Road, Near STV Airport, Surat, India"
81,DHM,Pride Plaza Hotel (Dharamshala / Kangra Airport),12.6,3,8.3,578,3125,0,0,"Terminal Road, Near DHM Airport, Dharamshala / Kangra, India"
82,BKN,FabHotel Airport Inn (Bikaner Airport),8.3,5,8.9,3436,2238,0,0,"Terminal Road, Near BKN Airport, Bikaner, India"
83,IXL,Ginger Airport Hotel (Leh (Ladakh) Airport),2.9,4,9.4,877,5932,1,0,"Terminal Road, Near IXL Airport, Leh (Ladakh), India"
84, سات,IBIS Airport Hotel (Satna Airport),14.3,3,9.3,2260,6552,0,1,"Terminal Road, Near  سات Airport, Satna, India"
85,JRG,OYO Townhouse Airport (Jharsuguda Airport),11.1,4,9.1,1791,8071,0,0,"Terminal Road, Near JRG Airport, Jharsuguda, India"
86,UTL,IBIS Airport Hotel (Barmer Airport),1.7,5,9.5,1553,8871,1,0,"Terminal Road, Near UTL Airport, Barmer, India"
87,GOX,IBIS Airport Hotel (Goa (Mopa) Airport),2.6,4,8.5,2060,4040,1,1,"Terminal Road, Near GOX Airport, Goa (Mopa), India"
88,SNE,ITC Grand Bharat (Singrauli Airport),12.3,5,9.4,2143,5526,0,0,"Terminal Road, Near SNE Airport, Singrauli, India"
89,GWL,FabHotel Airport Inn (Gwalior Airport),10.5,3,9.0,3145,6948,0,1,"Terminal Road, Near GWL Airport, Gwalior, India"
90,GBI,ITC Grand Bharat (Kalaburagi (Gulbarga) Airport),13.4,5,9.3,955,11500,0,1,"Terminal Road, Near GBI Airport, Kalaburagi (Gulbarga), India"
91,NPL,Hyatt Regency Terminal (Narnaul Airport),4.0,3,8.4,420,6900,1,0,"Terminal Road, Near NPL Airport, Narnaul, India"
92,CCU,Novotel Airport Hotel (Kolkata Airport),7.1,3,8.5,1664,11203,1,0,"Terminal Road, Near CCU Airport, Kolkata, India"
93,DHR,Trident Airport Hotel (Dibrugarh Airport),8.4,4,8.8,2046,10859,0,1,"Terminal Road, Near DHR Airport, Dibrugarh, India"
94,BHO,Trident Airport Hotel (Bhopal Airport),6.3,5,9.1,3795,2318,1,1,"Terminal Road, Near BHO Airport, Bhopal, India"
95,KOR,Hyatt Regency Terminal (Koraput Airport),5.3,3,8.8,1926,9003,1,1,"Terminal Road, Near KOR Airport, Koraput, India"
96,HSR,Novotel Airport Hotel (Rajkot Airport),8.5,4,9.0,1007,7924,0,0,"Terminal Road, Near HSR Airport, Rajkot, India"
97,NAG,IBIS Airport Hotel (Nagpur Airport),14.5,4,9.7,1211,3508,0,1,"Terminal Road, Near NAG Airport, Nagpur, India"
98,IXC,Ginger Airport Hotel (Chandigarh Airport),12.6,3,8.6,445,12109,0,0,"Terminal Road, Near IXC Airport, Chandigarh, India"
99,DGR,Taj City Centre (Deoghar Airport),3.0,3,8.9,2493,3285,1,0,"Terminal Road, Near DGR Airport, Deoghar, India"
100,AKL,Pride Plaza Hotel (Akola Airport),3.6,5,9.8,392,10494,1,0,"Terminal Road, Near AKL Airport, Akola, India"
101,GWL,Pride Plaza Hotel (Gwalior Airport),5.4,5,8.5,2624,2348,1,0,"Terminal Road, Near GWL Airport, Gwalior, India"
102,MAL,Radisson Blu Airport (Malda Airport),11.4,4,9.6,3349,8833,0,1,"Terminal Road, Near MAL Airport, Malda, India"
103,UTK,Hyatt Regency Terminal (Kalahandi / Utkela Airport),2.6,3,9.5,2517,4145,1,1,"Terminal Road, Near UTK Airport, Kalahandi / Utkela, India"
104,SRA,Lemon Tree Premier (Shravasti Airport),2.2,3,9.5,2903,2726,1,1,"Terminal Road, Near SRA Airport, Shravasti, India"
105,VTZ,Ginger Airport Hotel (Visakhapatnam Airport),1.9,4,9.1,2937,9873,1,1,"Terminal Road, Near VTZ Airport, Visakhapatnam, India"
106,MOR,FabHotel Airport Inn (Moradabad Airport),6.3,3,8.4,1497,8512,1,1,"Terminal Road, Near MOR Airport, Moradabad, India"
107,KNU,Pride Plaza Hotel (Kanpur Airport),6.9,3,9.3,656,9089,1,1,"Terminal Road, Near KNU Airport, Kanpur, India"
108,IXY,Hyatt Regency Terminal (Kandla Airport),2.9,3,8.6,3344,12430,1,0,"Terminal Road, Near IXY Airport, Kandla, India"
109,CNN,FabHotel Airport Inn (Kannur Airport),9.2,4,9.1,3049,9399,0,0,"Terminal Road, Near CNN Airport, Kannur, India"
110,IXJ,IBIS Airport Hotel (Jammu Airport),5.8,3,8.5,3493,3635,1,0,"Terminal Road, Near IXJ Airport, Jammu, India"
111,HJR,FabHotel Airport Inn (Khajuraho Airport),1.6,5,8.9,605,6002,1,0,"Terminal Road, Near HJR Airport, Khajuraho, India"
112,GOX,Lemon Tree Premier (Goa (Mopa) Airport),9.2,4,8.5,1682,4205,0,0,"Terminal Road, Near GOX Airport, Goa (Mopa), India"
113,NDC,Radisson Blu Airport (Nanded Airport),8.7,5,9.4,1997,8893,0,1,"Terminal Road, Near NDC Airport, Nanded, India"
114,LAT,Lemon Tree Premier (Latur Airport),8.7,4,9.2,1758,4970,0,0,"Terminal Road, Near LAT Airport, Latur, India"
115,TEZU,Radisson Blu Airport (Tezu Airport),5.6,3,9.3,2376,8188,1,1,"Terminal Road, Near TEZU Airport, Tezu, India"
116,AMH,Pride Plaza Hotel (Azamgarh Airport),11.5,3,8.3,1136,12347,0,1,"Terminal Road, Near AMH Airport, Azamgarh, India"
117, سات,Radisson Blu Airport (Satna Airport),6.0,4,8.5,1604,6091,1,0,"Terminal Road, Near  سات Airport, Satna, India"
118,NPL,Hyatt Regency Terminal (Narnaul Airport),13.0,4,9.3,3612,1865,0,0,"Terminal Road, Near NPL Airport, Narnaul, India"
119,GOP,FabHotel Airport Inn (Ganjam / Gopalpur Airport),11.1,4,9.0,1859,10520,0,0,"Terminal Road, Near GOP Airport, Ganjam / Gopalpur, India"
120, سات,Novotel Airport Hotel (Satna Airport),9.6,5,8.6,1620,9744,0,0,"Terminal Road, Near  سات Airport, Satna, India"
121,MZS,FabHotel Airport Inn (Sonbhadra Airport),5.9,3,8.9,2614,10479,1,1,"Terminal Road, Near MZS Airport, Sonbhadra, India"
122,CHI,Pride Plaza Hotel (Chhindwara Airport),8.8,3,9.5,2712,9904,0,1,"Terminal Road, Near CHI Airport, Chhindwara, India"
123,DIU,Lemon Tree Premier (Diu Airport),9.8,5,9.2,3459,5291,0,0,"Terminal Road, Near DIU Airport, Diu, India"
124,JLG,Ginger Airport Hotel (Jalgaon Airport),4.9,3,9.6,3075,2289,1,0,"Terminal Road, Near JLG Airport, Jalgaon, India"
125,KAM,Hyatt Regency Terminal (Kamalpur Airport),14.3,4,9.5,3576,2091,0,0,"Terminal Road, Near KAM Airport, Kamalpur, India"
126,SAH,ITC Grand Bharat (Saharanpur Airport),7.9,3,9.3,349,8839,1,0,"Terminal Road, Near SAH Airport, Saharanpur, India"
127,BOK,Ginger Airport Hotel (Bokaro Airport),13.4,3,9.8,746,4724,0,0,"Terminal Road, Near BOK Airport, Bokaro, India"
128,BLR,FabHotel Airport Inn (Bengaluru Airport),11.4,5,9.6,2737,9236,0,0,"Terminal Road, Near BLR Airport, Bengaluru, India"
129,WGC,Novotel Airport Hotel (Warangal Airport),1.1,4,9.5,2768,7666,1,1,"Terminal Road, Near WGC Airport, Warangal, India"
130,COK,OYO Townhouse Airport (Kochi Airport),2.9,5,8.4,2413,9705,1,0,"Terminal Road, Near COK Airport, Kochi, India"
131,VNS,ITC Grand Bharat (Varanasi Airport),7.8,4,8.8,179,2713,1,1,"Terminal Road, Near VNS Airport, Varanasi, India"
132,KAP,Novotel Airport Hotel (Kadapa Airport),10.0,3,8.5,1320,10146,0,1,"Terminal Road, Near KAP Airport, Kadapa, India"
133,KARN,Taj City Centre (Karnal Airport),6.0,3,8.3,3367,4169,1,0,"Terminal Road, Near KARN Airport, Karnal, India"
134,MEH,Taj City Centre (Mehsana Airport),1.3,5,9.3,477,6791,1,0,"Terminal Road, Near MEH Airport, Mehsana, India"
135,STV,Novotel Airport Hotel (Surat Airport),0.5,3,9.2,911,4402,1,1,"Terminal Road, Near STV Airport, Surat, India"
136,PUI,Novotel Airport Hotel (Purnea Airport),12.2,4,8.1,1418,9549,0,0,"Terminal Road, Near PUI Airport, Purnea, India"
137,COB,Trident Airport Hotel (Cooch Behar Airport),6.8,3,8.3,2771,7451,1,1,"Terminal Road, Near COB Airport, Cooch Behar, India"
138,IXY,Taj City Centre (Kandla Airport),13.7,5,8.2,1904,7217,0,1,"Terminal Road, Near IXY Airport, Kandla, India"
139,CKU,Novotel Airport Hotel (Chakulia Airport),1.8,3,9.7,2625,8389,1,1,"Terminal Road, Near CKU Airport, Chakulia, India"
140,KOR,Ginger Airport Hotel (Koraput Airport),5.0,4,8.3,1318,5400,1,1,"Terminal Road, Near KOR Airport, Koraput, India"
141,TEZU,Hyatt Regency Terminal (Tezu Airport),9.9,4,8.6,2263,3426,0,0,"Terminal Road, Near TEZU Airport, Tezu, India"
142,GOX,FabHotel Airport Inn (Goa (Mopa) Airport),11.3,4,8.3,1829,9793,0,1,"Terminal Road, Near GOX Airport, Goa (Mopa), India"
143,RMD,Trident Airport Hotel (Ratnagiri Airport),9.2,4,9.0,3688,10051,0,1,"Terminal Road, Near RMD Airport, Ratnagiri, India"
144,MAA,FabHotel Airport Inn (Chennai Airport),1.8,3,8.7,308,9804,1,0,"Terminal Road, Near MAA Airport, Chennai, India"
145,IXJ,Pride Plaza Hotel (Jammu Airport),8.8,3,9.4,3119,12104,0,0,"Terminal Road, Near IXJ Airport, Jammu, India"
146,KBK,Radisson Blu Airport (Kushinagar Airport),9.8,3,9.3,3448,10132,0,0,"Terminal Road, Near KBK Airport, Kushinagar, India"
147,DED,Lemon Tree Premier (Dehradun Airport),1.2,5,9.6,2640,7099,1,1,"Terminal Road, Near DED Airport, Dehradun, India"
148,BVC,Radisson Blu Airport (Bhavnagar Airport),9.1,3,9.5,832,4745,0,0,"Terminal Road, Near BVC Airport, Bhavnagar, India"
149,MAA,FabHotel Airport Inn (Chennai Airport),10.1,5,9.3,1623,12234,0,0,"Terminal Road, Near MAA Airport, Chennai, India"
150,BLR,Taj City Centre (Bengaluru Airport),5.5,3,9.2,1660,4056,1,0,"Terminal Road, Near BLR Airport, Bengaluru, India"
151,IXC,OYO Townhouse Airport (Chandigarh Airport),13.9,5,9.0,245,4543,0,1,"Terminal Road, Near IXC Airport, Chandigarh, India"
152,IMF,ITC Grand Bharat (Imphal Airport),0.6,4,8.6,653,8195,1,1,"Terminal Road, Near IMF Airport, Imphal, India"
153,GON,Radisson Blu Airport (Gondia Airport),10.2,5,9.4,1855,11500,0,1,"Terminal Road, Near GON Airport, Gondia, India"
154,IXE,Novotel Airport Hotel (Mangaluru Airport),13.5,4,8.9,3438,12017,0,0,"Terminal Road, Near IXE Airport, Mangaluru, India"
155,JRH,IBIS Airport Hotel (Jorhat Airport),3.5,5,8.1,2191,11424,1,1,"Terminal Road, Near JRH Airport, Jorhat, India"
156,AMD,OYO Townhouse Airport (Ahmedabad Airport),14.1,5,9.4,877,4198,0,0,"Terminal Road, Near AMD Airport, Ahmedabad, India"
157,VDY,Novotel Airport Hotel (Vidyanagar / Ballari Airport),2.2,5,9.4,443,4403,1,0,"Terminal Road, Near VDY Airport, Vidyanagar / Ballari, India"
158,BOK,FabHotel Airport Inn (Bokaro Airport),12.4,5,8.9,777,10600,0,1,"Terminal Road, Near BOK Airport, Bokaro, India"
159,NPL,ITC Grand Bharat (Narnaul Airport),11.5,5,8.7,1958,12467,0,0,"Terminal Road, Near NPL Airport, Narnaul, India"
160,VNS,Taj City Centre (Varanasi Airport),12.1,4,9.5,584,2317,0,0,"Terminal Road, Near VNS Airport, Varanasi, India"
161,AMR,IBIS Airport Hotel (Amravati Airport),9.3,4,8.5,686,4147,0,0,"Terminal Road, Near AMR Airport, Amravati, India"
162,CCJ,Taj City Centre (Kozhikode (Calicut) Airport),0.9,5,9.5,1416,9157,1,0,"Terminal Road, Near CCJ Airport, Kozhikode (Calicut), India"
163,PNV,Novotel Airport Hotel (Porbandar Airport),8.4,3,8.4,432,11648,0,1,"Terminal Road, Near PNV Airport, Porbandar, India"
164,IDR,Lemon Tree Premier (Indore Airport),0.9,4,9.5,1005,9424,1,0,"Terminal Road, Near IDR Airport, Indore, India"
165,DEL,Hyatt Regency Terminal (New Delhi Airport),11.9,5,9.4,817,12428,0,1,"Terminal Road, Near DEL Airport, New Delhi, India"
166,DBR,OYO Townhouse Airport (Darbhanga Airport),8.7,5,8.4,1255,2392,0,1,"Terminal Road, Near DBR Airport, Darbhanga, India"
167,PUI,ITC Grand Bharat (Purnea Airport),5.9,5,9.2,249,3256,1,1,"Terminal Road, Near PUI Airport, Purnea, India"
168,IXG,Trident Airport Hotel (Belagavi Airport),12.5,4,9.5,3082,9427,0,0,"Terminal Road, Near IXG Airport, Belagavi, India"
169,PINJ,Hyatt Regency Terminal (Panchkula / Pinjore Airport),13.1,4,8.7,377,11924,0,0,"Terminal Road, Near PINJ Airport, Panchkula / Pinjore, India"
170,IMF,FabHotel Airport Inn (Imphal Airport),5.5,5,8.3,1883,10137,1,1,"Terminal Road, Near IMF Airport, Imphal, India"
171,BLR,Pride Plaza Hotel (Bengaluru Airport),7.3,3,8.6,1032,11534,1,0,"Terminal Road, Near BLR Airport, Bengaluru, India"
172,UTK,FabHotel Airport Inn (Kalahandi / Utkela Airport),2.5,4,8.4,1367,6311,1,1,"Terminal Road, Near UTK Airport, Kalahandi / Utkela, India"
173,KBK,Taj City Centre (Kushinagar Airport),6.6,3,8.6,3056,5479,1,1,"Terminal Road, Near KBK Airport, Kushinagar, India"
174,IXR,Trident Airport Hotel (Ranchi Airport),4.6,3,9.5,3739,9673,1,0,"Terminal Road, Near IXR Airport, Ranchi, India"
175,AGX,Pride Plaza Hotel (Agatti Island (Lakshadweep) Airport),10.5,3,9.4,2664,6447,0,1,"Terminal Road, Near AGX Airport, Agatti Island (Lakshadweep), India"
176,HJR,Pride Plaza Hotel (Khajuraho Airport),4.8,3,8.7,1314,5822,1,0,"Terminal Road, Near HJR Airport, Khajuraho, India"
177,AMB,Trident Airport Hotel (Ambikapur Airport),14.1,4,9.4,3122,3007,0,0,"Terminal Road, Near AMB Airport, Ambikapur, India"
178,LGP,Ginger Airport Hotel (Rupsi / Dhubri Airport),14.1,5,9.4,722,9365,0,0,"Terminal Road, Near LGP Airport, Rupsi / Dhubri, India"
179,IXZ,Pride Plaza Hotel (Port Blair (Andaman) Airport),7.6,5,8.3,258,9866,1,0,"Terminal Road, Near IXZ Airport, Port Blair (Andaman), India"
180,VZY,Radisson Blu Airport (Vijayawada Airport),9.8,3,8.4,1488,11712,0,1,"Terminal Road, Near VZY Airport, Vijayawada, India"
181,AMH,Pride Plaza Hotel (Azamgarh Airport),2.6,3,9.7,2488,3900,1,0,"Terminal Road, Near AMH Airport, Azamgarh, India"
182,KARN,Lemon Tree Premier (Karnal Airport),3.7,4,8.7,3047,8536,1,0,"Terminal Road, Near KARN Airport, Karnal, India"
183,AGX,OYO Townhouse Airport (Agatti Island (Lakshadweep) Airport),13.6,3,8.3,3069,10584,0,0,"Terminal Road, Near AGX Airport, Agatti Island (Lakshadweep), India"
184,CCJ,Radisson Blu Airport (Kozhikode (Calicut) Airport),5.7,3,9.6,2206,2365,1,1,"Terminal Road, Near CCJ Airport, Kozhikode (Calicut), India"
185,SLV,Taj City Centre (Shimla Airport),0.8,3,9.4,3123,11195,1,0,"Terminal Road, Near SLV Airport, Shimla, India"
