id,flight_number,airline,airline_code,airline_color,origin_code,dest_code,departure_time,arrival_time,duration_minutes,stops,stopover_code,price,cabin_class,available_seats,total_passengers,aircraft,terminal,gate
72,9I-674,Alliance Air,9I,#0083c9,DEL,PNQ,2026-08-06 20:20:34,2026-08-06 22:49:34,149,0,,64408,First Class,13,140,Boeing 737 MAX 8,Terminal 2,Gate 1
73,6E-816,IndiGo,6E,#001b94,DEL,COK,2026-08-08 22:20:34,2026-08-08 23:26:34,66,0,,7078,Economy,36,127,Airbus A321neo,Terminal 3,Gate 16
74,9I-496,Alliance Air,9I,#0083c9,DEL,COK,2026-08-06 21:35:34,2026-08-06 23:38:34,123,0,,5661,Economy,8,132,Boeing 737-800,Terminal 3,Gate 10
75,AI-876,Air India,AI,#ed1b24,DEL,COK,2026-08-10 03:20:34,2026-08-10 05:34:34,134,0,,13083,Premium Economy,24,162,ATR 72-600,Terminal 2,Gate 10
76,IX-685,Air India Express,IX,#f26522,DEL,COK,2026-08-02 06:20:34,2026-08-02 08:40:34,140,0,,9728,Premium Economy,19,146,Airbus A320neo,Terminal 3,Gate 5
77,6E-519,IndiGo,6E,#001b94,DEL,COK,2026-08-14 03:20:34,2026-08-14 06:01:34,161,0,,23785,Business Class,27,128,Airbus A321neo,Terminal 1,Gate 22
78,6E-243,IndiGo,6E,#001b94,DEL,COK,2026-08-06 22:05:34,2026-08-07 00:52:34,167,0,,21015,Business Class,6,159,Boeing 737-800,Terminal 3,Gate 15
79,9I-975,Alliance Air,9I,#0083c9,DEL,COK,2026-08-01 11:20:34,2026-08-01 13:54:34,154,0,,48054,First Class,14,173,Boeing 737-800,Terminal 1,Gate 2
80,AI-219,Air India,AI,#ed1b24,DEL,COK,2026-08-08 06:05:34,2026-08-08 08:26:34,141,0,,39372,First Class,8,176,Airbus A320neo,Terminal 3,Gate 20
81,IX-328,Air India Express,IX,#f26522,DEL,JAI,2026-08-12 22:50:34,2026-08-13 00:28:34,98,0,,6985,Economy,6,158,Airbus A320neo,Terminal 3,Gate 8
82,9I-822,Alliance Air,9I,#0083c9,DEL,JAI,2026-08-10 10:05:34,2026-08-10 11:49:34,104,0,,5514,Economy,22,151,Boeing 737 MAX 8,Terminal 3,Gate 19
83,AI-266,Air India,AI,#ed1b24,DEL,JAI,2026-08-08 00:35:34,2026-08-08 03:37:34,182,0,,10066,Premium Economy,9,154,Airbus A320neo,Terminal 2,Gate 21
84,AI-218,Air India,AI,#ed1b24,DEL,JAI,2026-08-10 02:35:34,2026-08-10 04:17:34,102,0,,12621,Premium Economy,5,173,ATR 72-600,Terminal 1,Gate 6
85,9I-591,Alliance Air,9I,#0083c9,DEL,JAI,2026-08-02 19:35:34,2026-08-02 21:18:34,103,0,,18319,Business Class,3,161,Boeing 737 MAX 8,Terminal 1,Gate 1
86,SG-422,SpiceJet,SG,#e60000,DEL,JAI,2026-08-14 18:35:34,2026-08-14 19:48:34,73,0,,26174,Business Class,3,162,Airbus A320neo,Terminal 2,Gate 12
87,9I-942,Alliance Air,9I,#0083c9,DEL,JAI,2026-08-03 06:35:34,2026-08-03 07:44:34,69,1,TRZ,53584,First Class,34,127,Boeing 737-800,Terminal 3,Gate 3
88,IX-565,Air India Express,IX,#f26522,DEL,JAI,2026-08-15 02:05:34,2026-08-15 05:13:34,188,1, سات,40906,First Class,25,142,ATR 72-600,Terminal 2,Gate 15
89,IX-303,Air India Express,IX,#f26522,DEL,LKO,2026-08-15 03:20:34,2026-08-15 04:53:34,93,1,SHL,4170,Economy,4,132,Airbus A321neo,Terminal 2,Gate 15
90,AI-515,Air India,AI,#ed1b24,DEL,LKO,2026-08-05 05:05:34,2026-08-05 07:53:34,168,0,,5075,Economy,9,163,Airbus A321neo,Terminal 1,Gate 6
91,SG-354,SpiceJet,SG,#e60000,DEL,LKO,2026-08-14 23:20:34,2026-08-15 00:44:34,84,1,AMD,12218,Premium Economy,22,162,ATR 72-600,Terminal 3,Gate 22
92,9I-364,Alliance Air,9I,#0083c9,DEL,LKO,2026-07-31 17:35:34,2026-07-31 19:59:34,144,1,VDY,10044,Premium Economy,24,144,Airbus A320neo,Terminal 2,Gate 14
93,IX-155,Air India Express,IX,#f26522,DEL,LKO,2026-08-04 10:35:34,2026-08-04 13:20:34,165,0,,30011,Business Class,16,150,Boeing 737 MAX 8,Terminal 3,Gate 7
94,AI-358,Air India,AI,#ed1b24,DEL,LKO,2026-08-10 02:05:34,2026-08-10 04:39:34,154,0,,33406,Business Class,25,141,Airbus A320neo,Terminal 2,Gate 17
95,IX-796,Air India Express,IX,#f26522,DEL,LKO,2026-08-06 23:50:34,2026-08-07 01:25:34,95,0,,53584,First Class,18,136,Airbus A321neo,Terminal 1,Gate 2
96,UK-584,Vistara,UK,#4b164c,DEL,LKO,2026-08-12 10:35:34,2026-08-12 12:21:34,106,1,IXY,50414,First Class,11,124,Boeing 737-800,Terminal 3,Gate 21
97,9I-106,Alliance Air,9I,#0083c9,DEL,PAT,2026-08-08 01:50:34,2026-08-08 03:23:34,93,0,,7797,Economy,7,129,ATR 72-600,Terminal 1,Gate 1
98,UK-279,Vistara,UK,#4b164c,DEL,PAT,2026-08-01 02:05:34,2026-08-01 04:41:34,156,0,,6240,Economy,20,178,Boeing 737 MAX 8,Terminal 2,Gate 22
99,QP-526,Akasa Air,QP,#ff5d00,DEL,PAT,2026-08-03 06:50:34,2026-08-03 09:11:34,141,1,MAA,8792,Premium Economy,28,152,Airbus A320neo,Terminal 3,Gate 23
100,SG-776,SpiceJet,SG,#e60000,DEL,PAT,2026-08-04 20:20:34,2026-08-04 21:27:34,67,0,,14323,Premium Economy,26,154,Boeing 737 MAX 8,Terminal 3,Gate 17
101,UK-186,Vistara,UK,#4b164c,DEL,PAT,2026-08-11 21:50:34,2026-08-11 23:41:34,111,0,,21659,Business Class,2,136,Airbus A321neo,Terminal 1,Gate 7
102,9I-569,Alliance Air,9I,#0083c9,DEL,PAT,2026-08-09 18:35:34,2026-08-09 21:04:34,149,0,,34380,Business Class,5,138,ATR 72-600,Terminal 3,Gate 20
103,IX-462,Air India Express,IX,#f26522,DEL,PAT,2026-08-12 08:50:34,2026-08-12 11:01:34,131,0,,43591,First Class,2,137,Airbus A320neo,Terminal 3,Gate 10
104,QP-984,Akasa Air,QP,#ff5d00,DEL,PAT,2026-08-11 00:20:34,2026-08-11 02:01:34,101,0,,67500,First Class,9,180,Airbus A321neo,Terminal 3,Gate 1
105,9I-410,Alliance Air,9I,#0083c9,DEL,GAW,2026-08-06 22:50:34,2026-08-07 01:18:34,148,0,,6757,Economy,26,136,ATR 72-600,Terminal 3,Gate 19
106,UK-947,Vistara,UK,#4b164c,DEL,GAW,2026-08-03 02:05:34,2026-08-03 04:02:34,117,1,IXD,4901,Economy,33,180,ATR 72-600,Terminal 1,Gate 5
107,9I-917,Alliance Air,9I,#0083c9,DEL,GAW,2026-08-04 06:50:34,2026-08-04 08:07:34,77,1,CKU,14094,Premium Economy,19,153,Boeing 737 MAX 8,Terminal 2,Gate 23
108,6E-333,IndiGo,6E,#001b94,DEL,GAW,2026-08-15 06:35:34,2026-08-15 07:58:34,83,1,RGD,13560,Premium Economy,22,154,Boeing 737 MAX 8,Terminal 2,Gate 17
109,9I-471,Alliance Air,9I,#0083c9,DEL,GAW,2026-08-11 02:35:34,2026-08-11 04:01:34,86,0,,23118,Business Class,11,175,Airbus A320neo,Terminal 1,Gate 14
110,AI-984,Air India,AI,#ed1b24,DEL,GAW,2026-08-09 01:35:34,2026-08-09 02:54:34,79,0,,22069,Business Class,8,175,Boeing 737 MAX 8,Terminal 1,Gate 12
111,9I-284,Alliance Air,9I,#0083c9,DEL,GAW,2026-08-11 06:20:34,2026-08-11 09:13:34,173,0,,67433,First Class,32,120,Boeing 737-800,Terminal 1,Gate 1
112,9I-236,Alliance Air,9I,#0083c9,DEL,GAW,2026-08-09 17:50:34,2026-08-09 19:40:34,110,0,,56578,First Class,16,170,Airbus A320neo,Terminal 3,Gate 22
113,6E-453,IndiGo,6E,#001b94,DEL,SXR,2026-08-13 01:50:34,2026-08-13 03:06:34,76,0,,5393,Economy,36,153,ATR 72-600,Terminal 3,Gate 3
114,9I-949,Alliance Air,9I,#0083c9,DEL,SXR,2026-08-15 01:20:34,2026-08-15 03:21:34,121,0,,5131,Economy,26,138,Boeing 737-800,Terminal 2,Gate 23
115,AI-796,Air India,AI,#ed1b24,DEL,SXR,2026-08-07 01:05:34,2026-08-07 03:53:34,168,1,NPL,8571,Premium Economy,32,164,ATR 72-600,Terminal 1,Gate 23
116,9I-996,Alliance Air,9I,#0083c9,DEL,SXR,2026-08-13 08:20:34,2026-08-13 10:34:34,134,0,,14672,Premium Economy,6,146,Boeing 737 MAX 8,Terminal 3,Gate 4
117,SG-418,SpiceJet,SG,#e60000,DEL,SXR,2026-08-13 04:05:34,2026-08-13 06:04:34,119,0,,32664,Business Class,28,156,Airbus A321neo,Terminal 2,Gate 20
118,9I-648,Alliance Air,9I,#0083c9,DEL,SXR,2026-07-31 20:20:34,2026-07-31 22:49:34,149,0,,18770,Business Class,22,177,Boeing 737-800,Terminal 2,Gate 19
119,QP-654,Akasa Air,QP,#ff5d00,DEL,SXR,2026-07-31 18:50:34,2026-07-31 20:06:34,76,0,,63877,First Class,10,155,Airbus A321neo,Terminal 2,Gate 2
120,AI-875,Air India,AI,#ed1b24,DEL,SXR,2026-08-02 22:05:34,2026-08-02 23:47:34,102,0,,66793,First Class,2,134,Boeing 737-800,Terminal 3,Gate 10
121,6E-420,IndiGo,6E,#001b94,DEL,IXC,2026-08-14 07:50:34,2026-08-14 09:42:34,112,0,,2811,Economy,32,152,Boeing 737 MAX 8,Terminal 3,Gate 16
122,SG-320,SpiceJet,SG,#e60000,DEL,IXC,2026-08-07 20:05:34,2026-08-07 21:51:34,106,0,,3348,Economy,6,156,ATR 72-600,Terminal 1,Gate 9
123,IX-160,Air India Express,IX,#f26522,DEL,IXC,2026-07-31 21:20:34,2026-07-31 23:34:34,134,0,,11093,Premium Economy,33,148,ATR 72-600,Terminal 2,Gate 9
124,6E-169,IndiGo,6E,#001b94,DEL,IXC,2026-08-05 19:20:34,2026-08-05 20:26:34,66,0,,15249,Premium Economy,16,169,Boeing 737-800,Terminal 3,Gate 23
125,6E-607,IndiGo,6E,#001b94,DEL,IXC,2026-08-09 07:50:34,2026-08-09 09:18:34,88,0,,18477,Business Class,6,148,ATR 72-600,Terminal 3,Gate 22
126,SG-194,SpiceJet,SG,#e60000,DEL,IXC,2026-08-10 00:20:34,2026-08-10 01:26:34,66,0,,18486,Business Class,17,140,Airbus A321neo,Terminal 2,Gate 10
127,SG-494,SpiceJet,SG,#e60000,DEL,IXC,2026-08-12 07:50:34,2026-08-12 10:57:34,187,0,,58475,First Class,9,134,Airbus A321neo,Terminal 3,Gate 21
128,QP-863,Akasa Air,QP,#ff5d00,DEL,IXC,2026-08-01 18:05:34,2026-08-01 20:38:34,153,0,,52323,First Class,38,150,Airbus A320neo,Terminal 3,Gate 6
129,SG-303,SpiceJet,SG,#e60000,DEL,VNS,2026-08-07 10:05:34,2026-08-07 11:31:34,86,0,,3507,Economy,22,132,Boeing 737-800,Terminal 3,Gate 1
130,9I-640,Alliance Air,9I,#0083c9,DEL,VNS,2026-08-04 05:05:34,2026-08-04 07:26:34,141,1,PBF,5762,Economy,27,170,Airbus A320neo,Terminal 2,Gate 23
131,UK-291,Vistara,UK,#4b164c,DEL,VNS,2026-08-08 09:35:34,2026-08-08 10:50:34,75,0,,10282,Premium Economy,2,126,Boeing 737-800,Terminal 3,Gate 2
132,UK-692,Vistara,UK,#4b164c,DEL,VNS,2026-08-14 01:50:34,2026-08-14 04:38:34,168,0,,10860,Premium Economy,14,174,Boeing 737-800,Terminal 2,Gate 22
133,9I-224,Alliance Air,9I,#0083c9,DEL,VNS,2026-08-02 06:05:34,2026-08-02 08:00:34,115,0,,25192,Business Class,7,179,Airbus A320neo,Terminal 1,Gate 3
134,QP-795,Akasa Air,QP,#ff5d00,DEL,VNS,2026-08-11 07:50:34,2026-08-11 09:37:34,107,0,,19629,Business Class,10,122,Boeing 737 MAX 8,Terminal 1,Gate 19
135,SG-729,SpiceJet,SG,#e60000,DEL,VNS,2026-08-10 00:50:34,2026-08-10 02:33:34,103,0,,60392,First Class,22,171,Boeing 737-800,Terminal 2,Gate 23
136,SG-429,SpiceJet,SG,#e60000,DEL,VNS,2026-08-04 07:35:34,2026-08-04 08:44:34,69,1,TRV,42733,First Class,3,158,Airbus A320neo,Terminal 1,Gate 21
137,6E-826,IndiGo,6E,#001b94,DEL,IXB,2026-08-07 03:05:34,2026-08-07 05:51:34,166,0,,7194,Economy,27,120,Boeing 737-800,Terminal 1,Gate 15
138,QP-598,Akasa Air,QP,#ff5d00,DEL,IXB,2026-08-13 18:20:34,2026-08-13 20:06:34,106,0,,4964,Economy,3,165,Airbus A320neo,Terminal 2,Gate 1
139,QP-138,Akasa Air,QP,#ff5d00,DEL,IXB,2026-08-07 07:05:34,2026-08-07 08:40:34,95,1,KBK,14093,Premium Economy,30,177,Boeing 737 MAX 8,Terminal 1,Gate 21
140,UK-960,Vistara,UK,#4b164c,DEL,IXB,2026-08-10 06:35:34,2026-08-10 09:07:34,152,0,,10408,Premium Economy,31,144,Airbus A320neo,Terminal 3,Gate 4
141,QP-548,Akasa Air,QP,#ff5d00,DEL,IXB,2026-08-07 23:50:34,2026-08-08 01:47:34,117,0,,34028,Business Class,8,160,Boeing 737-800,Terminal 3,Gate 18
142,QP-481,Akasa Air,QP,#ff5d00,DEL,IXB,2026-08-12 00:35:34,2026-08-12 01:50:34,75,1,VJZ,30216,Business Class,2,147,Airbus A320neo,Terminal 1,Gate 6
143,SG-113,SpiceJet,SG,#e60000,DEL,IXB,2026-08-09 21:20:34,2026-08-10 00:20:34,180,0,,61901,First Class,38,179,Boeing 737-800,Terminal 2,Gate 21
144,SG-336,SpiceJet,SG,#e60000,DEL,IXB,2026-08-07 08:05:34,2026-08-07 10:22:34,137,0,,63367,First Class,25,159,ATR 72-600,Terminal 3,Gate 12
